I

740 Version - made by https://simbad.u-strasbg.fr/simbad/sim-fid from Hipparcos data, for J2025 epoch, 2025 equinox, V-band brightness, all stars down to mag 6.5

 9.5281  -40.577  3.60 psi Vel
11.8666    1.624  3.60 Zavijava 
 7.7691  -38.030  3.61 c Pup
10.1968  -12.478  3.61 lam Hya
 1.5471   15.474  3.62 Alpherg 
13.0672  -71.683  3.62 del Mus
16.9391  -42.402  3.62 zet02 Sco
17.5560  -60.701  3.62 del Ara
23.0513   42.461  3.62 omi And
 3.8442   24.128  3.63 Atlas 
 8.6835  -53.011  3.63 omi Vel
20.6454   14.683  3.63 Rotanev 
15.6700  -29.858  3.64 tau Lib
23.1796  -21.036  3.64 c02 Aqr
 4.3537   15.686  3.65 Prima Hyadum
11.7801  -66.867  3.65 lam Mus
20.9457  -58.358  3.65 bet Ind
22.5020    0.109  3.65 zet Aqr
 0.6396   54.034  3.66 Fulu 
 5.6086    9.949  3.66 Heka 
18.1430  -50.087  3.66 tet Ara
 9.5579   62.951  3.67 h UMa
15.7890   15.345  3.67 Chow 
21.6912  -16.548  3.67 Nashira 
 4.8757    5.646  3.68 pi.04 Ori
 8.7433  -33.278  3.68 alf Pyx
14.0845   64.257  3.68 Thuban 
15.4810   29.021  3.68 Nusakan 
15.8677    4.404  3.69 eps Ser
 1.9488  -51.485  3.70 chi Eri
 3.3438  -21.668  3.70 tau04 Eri
 3.7728   24.190  3.70 Electra 
 7.8846  -40.641  3.70 a Pup
15.2281  -48.831  3.70 kap Lup
17.9790   29.247  3.70 ksi Her
23.3077    3.419  3.70 gam Psc
19.9423    6.471  3.71 Alshain 
 1.8783  -10.212  3.72 Baten Kaitos
 5.9591  -14.165  3.72 eta Lep
 6.0264   54.283  3.72 del Aur
11.7894   47.641  3.72 Taiyangshou 
 3.5685   -9.375  3.73 Ran 
 4.9259    2.480  3.73 pi.05 Ori
14.7919    1.789  3.73 109 Vir
18.1423    9.569  3.73 72 Oph
21.0974   44.029  3.73 ksi Cyg
21.2632   38.153  3.73 tau Cyg
21.7360  -77.277  3.73 nu. Oct
 6.5005   -7.051  3.74 bet Mon
16.8659  -59.083  3.74 eta Ara
21.4682  -22.302  3.74 zet Cap
 3.4755    9.818  3.75 ksi Tau
 5.0705   41.110  3.75 Saclateni 
 7.1421  -70.539  3.75 gam02 Vol
 9.0836  -47.198  3.75 c Vel
 9.7656  -62.624  3.75 l Car
17.8191    2.700  3.75 gam Oph
17.8994   56.869  3.75 Grumium 
19.5056   51.784  3.75 iot Cyg
22.5017   58.544  3.75 del Cep
 4.4063   17.599  3.76 Secunda Hyadum
 5.5641  -62.474  3.76 bet Dor
 8.4334  -66.221  3.76 bet Vol
16.3837   19.096  3.76 gam Her
19.2947   53.415  3.76 kap Cyg
19.1030  -21.703  3.77 omi Sgr
20.8171   -9.403  3.77 Albali 
22.1363   25.468  3.77 iot Peg
22.5388   50.412  3.77 alf Lac
14.7057   13.622  3.78 zet Boo
 2.8757   55.997  3.79 Miram 
 5.6667   -2.588  3.79 sig Ori
 7.0932   20.531  3.79 Mekbuda 
 7.4546   27.746  3.79 iot Gem
10.9086  -58.986  3.79 u Car
11.3252   31.388  3.79 Alula Australis
22.8986   -7.446  3.79 lam Aqr
 3.7817   42.655  3.80 nu. Per
 8.9269  -60.741  3.80 c Car
13.9967  -42.222  3.80 phi Cen
14.8515  -79.148  3.80 alf Aps
17.6695   45.994  3.80 iot Her
19.8958    1.072  3.80 eta Aql
20.2403   46.818  3.80 31 Cyg
20.6800   16.002  3.80 Sualocin 
 3.1866   44.950  3.81 Misam 
 8.6909  -46.739  3.81 b Vel
 9.8791   58.920  3.81 ups UMa
10.4550  -16.965  3.81 mu. Hya
10.4800  -58.868  3.81 s Car
 4.6087  -30.513  3.82 Theemin 
 7.2638  -26.818  3.82 ome CMa
19.8084   18.597  3.82 del Sge
23.6466   46.594  3.82 lam And
 3.7420  -64.729  3.83 bet Ret
 3.7649   32.365  3.83 Atik 
10.9117   34.079  3.83 Praecipua 
11.1611  -59.111  3.83 x Car
18.1420   28.767  3.83 omi Her
18.6095   -8.225  3.83 alf Sct
22.3824   -1.261  3.83 Sadachbia 
 4.5001   16.016  3.84 tet01 Tau
10.6393  -48.356  3.84 p Vel
15.9602   15.582  3.84 gam Ser
16.2956  -63.746  3.84 del TrA
18.4127   21.783  3.84 109 Her
 5.8733  -20.879  3.85 del Lep
 6.3838  -33.450  3.85 del Col
10.2632  -42.247  3.85 q Vel
11.5477   69.193  3.85 Giausar 
16.6228  -78.948  3.85 gam Aps
18.2543  -21.050  3.85 Polis 
 4.2472  -42.234  3.86 alf Hor
 5.7980  -51.058  3.86 bet Pic
12.6514  -48.679  3.86 tau Cen
15.9739  -29.285  3.86 Iklil 
 0.1779  -45.610  3.87 eps Phe
 0.9692   38.634  3.87 mu. And
 2.9608   -8.800  3.87 Azha 
 3.7887   24.444  3.87 Maia 
 4.6554  -14.257  3.87 Sceptrum 
 5.5350  -35.454  3.87 eps Col
 6.9195  -24.217  3.87 omi01 CMa
10.5688    9.177  3.87 rho Leo
14.0039  -44.924  3.87 ups01 Cen
16.3416   46.255  3.87 tau Her
 4.0748    6.057  3.88 nu. Tau
 9.9030   25.888  3.88 Rasalas 
12.5666  -72.271  3.88 gam Mus
13.5417  -39.536  3.88 d Cen
14.7397   -5.766  3.88 mu. Vir
17.9519   37.249  3.88 tet Her
19.9541   35.151  3.88 eta Cyg
23.1961  -45.111  3.88 iot Gru
 6.8463  -32.539  3.89 kap CMa
12.5756   69.651  3.89 kap Dra
15.1139  -47.147  3.89 pi. Lup
 8.4485   -3.990  3.90 30 Mon
12.3531   -0.806  3.90 Zaniah 
16.5363    1.931  3.90 Marfik 
 6.6296  -19.279  3.91 nu.02 CMa
 8.7813  -46.134  3.91 a Vel
 9.6855   -1.257  3.91 Ukdah 
12.4901  -50.369  3.91 sig Cen
15.6155  -14.871  3.91 Zubenelhakrabi 
19.8013   70.331  3.91 Tyl 
 2.9119  -49.789  3.92 R Hor
 9.3399   36.695  3.92 38 Lyn
17.0208   30.891  3.92 eps Her
 4.6262   -3.303  3.93 nu. Eri
 7.7074   -9.611  3.93 alf Mon
 7.7469  -29.016  3.93 l Pup
18.0316    2.932  3.93 67 Oph
19.3853  -17.798  3.93 rho01 Sgr
21.2846    5.352  3.93 Kitalpha 
22.7956   23.698  3.93 lam Peg
 0.4571  -43.541  3.94 kap Phe
 1.5382  -48.943  3.94 del Phe
 2.0937   72.541  3.94 50 Cas
 7.6916  -72.666  3.94 zet Vol
 8.7684   18.061  3.94 Asellus Australis
 9.1974  -62.420  3.94 i Car
19.4269  -40.566  3.94 Rukbat 
20.0573  -72.841  3.94 eps Pav
20.9685   41.264  3.94 nu. Cyg
 5.8871   39.153  3.95 nu. Aur
 8.6847  -35.398  3.95 bet Pyx
15.8759  -33.701  3.95 chi Lup
 2.9341   52.863  3.96 tau Per
 4.4163  -33.960  3.96 Beemim 
 5.9985  -42.815  3.96 eta Col
 6.2679   -6.284  3.96 gam Mon
 9.0375   41.682  3.96 10 UMa
12.2162  -52.508  3.96 rho Cen
16.1379  -20.735  3.97 ome Sco
22.5126  -43.367  3.97 del01 Gru
 3.2190  -28.890  3.98 Dalim 
20.2708   47.792  3.98 omi02 Cyg
22.8485  -13.460  3.98 tau Aqr
23.3145  -58.098  3.98 gam Tuc
23.4047  -19.964  3.98 b01 Aqr
 7.2802  -68.003  3.99 del Vol
